,体験受入法人等,代表者,所在地,ホームページ,売上高,従業員数,経営主作目・事業内容,経営理念と将来の事業展開・ビジョン,有機農業に対する考えや取り組み,作物種別,体験可能作目,体験場所,体験担当者,受入可能時期と内容,1回の受入可能期間,高校生の受入,社会人の週末等コースの受入,提供できる住居,食事提供の方法,採用計画,アクセス,自動車免許,服装など準備すべき物,登録にあたっての考え,参加者の目的で重視すること,メッセージ：どんなことを学べるか
525,（株）肥後やまと,原田　幸二,熊本県上益城郡山都町川野,,1億5000万円,13名,出荷作業・パック詰め（100種類以上の作目）,オーガニックを通してお客様と身体や心をつくる。地域・地球環境を守る。人材育成（農業者）,,出荷作業・パック詰め,出荷作業・パック詰め,,小川政子、岩田理恵,通年可能：パック詰め、出荷作業、パソコン作業,3日〜,可,不可,その他　通いのみ受入,経営者等家族と一緒,有,自家用車,必要,汚れてもよい服装,農業体験・理解者の増加、従業員の確保、体験生の確保,就職先検討,生産者が作った農作物をお客様にお届けするまでのお仕事や流れが学べます。
526,かみなか農場,上中通寿,静岡県榛原郡川根本町徳山,www.kawaneasagirien.jp,2，000万円,4人,・穀物(蕎麦・小麦）、露地野菜（トウモロコシ・白菜　他）、果実（ブルーべリー）、茶（煎茶・紅茶）の栽培・出荷協議会の運営,奥大井の自然の理を生かした栽培をし、安心安全な作物を栽培しています。荒廃農地の再生に取り組み農村の景観を復活させ地域住民と消費者の皆様に喜ばれる仕事をしていきます。,健康な土作りを行い病害虫に強い作物作りに取り組んでいます。,穀物・露地野菜・果実・茶,穀物・露地野菜・果実・茶,,上中通寿,通年可能：野菜全般の栽培収穫作業、蕎麦・小麦の播種収穫作業　他,3日〜,可,可,社宅・寮等,自炊（食費補助）,有,大井川鐡道大井川本線（駿河徳山駅）徒歩10分、車3分　　/JR東海道線（金谷駅）　車1時間,必要,作業服・長靴等作業ができる靴,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,自然に適応した農業への取り組みから基礎的な栽培について学習できます。独立して農業経営を希望する方も、かみなか農場では応援します。先ずは農業体験から！
527,（株）プレマ,飯野　晃子,群馬県前橋市粕川町下東田面,https://www.premafoods.com/,1億3，000万円,38人,有機小松菜の生産（有機JAS認証およびグローバルG.A.P.認証に基づく栽培）,”「有機（オーガニックORGANIC）」事業を通じ、地球環境の保全と改善を推進しながら、より健康で美しく元気に活躍する人々をサポートすることを理念としています。<BR>有機小松菜を周年栽培する農場をベースに、環境に配慮した生産地を広げ、今後は世界中で有機やエコな農業に取り組む人材を育むモデル農場を志しています。”,地球環境の保全・改善および人々の健康に貢献するため有機農業に取り組んでいます。,小松菜,小松菜,,清水勉,通年可能：体験内容：収穫・選別・圃場作業,2日〜,不可,不可,その他　近隣のホテル,その他　食費補助1日2000円で各自用意する,有,上毛電鉄　粕川駅,必要,,従業員の確保,就職先検討,有機JAS法およびグローバルG.A.P.認証に基づく有機栽培が学べます
528,橋本梨園,橋本　均,千葉県白井市根,http://hashimoto-nashien.com,,11人,日本梨・生産直売,植物生理を考えた梨づくり、お客様の「梨を食べる」という一年に一度の経験を最高の体験にする,有機栽培は行わないが、生態系を考慮した梨づくりに注力している,日本梨,日本梨,,橋本　哲弥,通年可能：そのときの作業,1週間〜,不可,可,その他　通いのみ受入,その他　弁当持参・外食（昼食代は提供）,有,自動車・電車（北総線白井駅）,なくても可,汚れてもよい服装・靴,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討のどちらでもよい,技術の体得は一朝一夕にいきませんが、体験を通じて梨栽培の流れを学んで頂きたいと思います。
529,農事組合法人　ファルムやなぎだて,柳舘　一郎,秋田県鹿角市十和田草木字大畑平,,5000万円,8人,米・そば<BR>,働きやすい労働環境の整備、機械による省力化を図り、生産力の向上と人材の定着に努め、持続可能な地域を目指す<BR>,,米、そば,米、そば,,柳舘　一郎,4～11月：米、そばの生産、出荷に係る作業,2日〜,可,不可,社宅・寮等,自炊（食費補助）,有,秋北バス（長老森）バス停から徒歩20分,必要,高校生は普通自動車免許がなくても可、作業服、長靴、作業手袋、帽子、天候により雨具等,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,
530,農業組合法人　未広ファーム,柳沢　義一,秋田県鹿角市十和田末広字家ノ下,http://suehiro-farm.net/,8000万円,18人,米・ネギ・大豆,農地の整備や労働環境を整備しつつ、若手が働きやすい環境をつくり、持続可能な事業展開を進めていく。,現在取り組んでいる,米・ネギ・大豆,米・ネギ・大豆,,柳沢　義一,通年可能：農作物の生産、出荷調整、圃場管理,2日〜,可,可,その他　市内宿泊施設,その他　弁当,有,JR末広駅から徒歩10分,なくても可,作業服、長靴、作業手袋、帽子、天候により雨具等,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農作物の生産に係ることだけでなく、営業・販売等に係ることも学んでいただく
531,（有）八幡平地域経営公社,阿部　聖,秋田県鹿角市八幡平字前川原,,7500万円,12人,米・そば・啓翁桜,作業の効率化・省力化を推進し担い手確保に努め、地域営農に協力し、持続可能な地域づくりを図る,,米・そば・啓翁桜,米・そば・啓翁桜,,阿部　聖,通年可能：米・そば・啓翁桜の生産、出荷に係る作業等,2日〜,可,不可,その他　近隣宿泊施設,自炊（食費補助）,,JR花輪線　八幡平駅から徒歩10分,必要,高校生は普通自動車免許がなくても可、作業服、長靴、作業手袋、帽子、天候により雨具等,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,若手が活躍している会社です。農業を通じて仲間づくり、地域との関係づくりができます。
532,農事組合法人　鏡田ファーミング,木村　等,秋田県鹿角市花輪字前田,,6000万円,16人,米・枝豆・人参,生産した農作物の加工等、6次化にも力を入れ、通年作業をつくり、安定・継続的な事業展開を目指す,,米・枝豆・人参,米・枝豆・人参,,木村　等,4～11月：米・枝豆・野菜の生産・出荷に係る作業,2日〜,可,可,その他　近隣宿泊施設,自炊（食費補助）,有,JR花輪線　鹿角花輪駅,必要,高校生は普通自動車免許がなくても可、作業服、長靴、作業手袋、帽子、天候により雨具等,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,基本的なことから農業経営を考えた農作業を学んでいただけます。
533,（株）環美,桑原　佳之,秋田県鹿角市花輪字妻ノ神,,,6人,ニンニク,面積拡大と同時に、機械導入による省力化と労働環境の整備を行い、労働者にやさしい事業展開を行っている。,,ニンニク,ニンニク,,染谷　龍一,通年可能：ニンニク栽培の一連の作業、出荷調整,2日〜,可,不可,その他　同市内宿泊施設,その他　弁当,有,JR花輪線　鹿角花輪駅から車で10分,必要,高校生は普通自動車免許がなくても可、作業服、長靴、作業手袋、帽子、天候により雨具等,農業体験・理解者の増加、従業員の確保、体験生の確保,就職先検討,単純作業だけではなく、農業機械の操作や、労働環境の改善・整備等
534,農業組合法人　十和田八幡平ファーム夏井,海沼　信義,秋田県鹿角市八幡平字下田表,,3300万円,8人,米・枝豆・せり　生産販売,農業を通じて、過疎化の進む地域の土地活用や地域経済を回すことにより、持続可能な地域づくりを行う,,米・枝豆・せり,米・枝豆・せり,,海沼　信義,4～2月：稲作・枝豆・せり、栽培から出荷調整までの作業,2日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,秋北バス（下夏井）バス停から徒歩5分,必要,高校生は普通自動車免許がなくても可、作業服、長靴、作業手袋、帽子、天候により雨具等,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,各作目の生産に係る業務の他、自社販売のための営業や企画等
535,農業組合法人　芦名沢ファーム,成田　勉,秋田県鹿角市十和田山根字大清水,,4000万円,6人,米・そば・WCS,作業の効率化・省力化を図り、過疎地域での持続可能な農業経営を目指す,,米・そば・WCS,米・そば・WCS,,成田　勉,4～11月：米・そば・WCSの生産、出荷に係る作業,2日〜,可,不可,その他,自炊（食費補助）,有,JR花輪線　十和田南駅から車で15分,なくても可,作業服、長靴、作業手袋、帽子、天候により雨具等,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討のどちらでもよい,
536,農業組合法人　したかわら,佐藤　裕（ひろみ）,秋田県鹿角市花輪字赤川,,3000万円,8人,米・そば・りんご,無理なく働きやすい労働環境づくりをし、持続可能な事業を目指す,,米・そば・りんご,米・そば・りんご,,佐藤　裕,4～11月：米・そばの生産、出荷に係る作業等,2日〜,可,,その他　近隣宿泊施設,自炊（食費補助）,有,JR花輪線　芝平駅,必要,高校生は普通自動車免許がなくても可、作業服、長靴、作業手袋、帽子、天候により雨具等,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農作業を通じて、地域との付き合い方を学んでください。
